"STATISTIC Label","Quarter","Type of House","Local Authority","UNIT","VALUE"
"New Dwelling Completion","2011Q1","All house types","Sligo County Council","Number","52"
"New Dwelling Completion","2011Q1","All house types","Tipperary County Council","Number","63"
"New Dwelling Completion","2011Q1","All house types","Waterford City & County Council","Number","96"
"New Dwelling Completion","2011Q1","All house types","Westmeath County Council","Number","33"
"New Dwelling Completion","2011Q1","All house types","Wicklow County Council","Number","74"
"New Dwelling Completion","2011Q1","All house types","Wexford County Council","Number","73"
"New Dwelling Completion","2011Q1","All house types","Ireland","Number","1875"
"New Dwelling Completion","2011Q2","Single house","Cork City Council","Number","16"
"New Dwelling Completion","2011Q2","Single house","Clare County Council","Number","41"
"New Dwelling Completion","2011Q2","Single house","Cavan County Council","Number","27"
"New Dwelling Completion","2011Q2","Single house","Cork County Council","Number","159"
"New Dwelling Completion","2011Q2","Single house","Carlow County Council","Number","16"
"New Dwelling Completion","2011Q2","Single house","Dublin City Council","Number","13"
"New Dwelling Completion","2011Q2","Single house","Dún Laoghaire Rathdown County Council","Number","12"
"New Dwelling Completion","2011Q2","Single house","Donegal County Council","Number","106"
"New Dwelling Completion","2011Q2","Single house","Fingal County Council","Number","22"
"New Dwelling Completion","2011Q2","Single house","Galway County Council","Number","104"
"New Dwelling Completion","2011Q2","Single house","Galway City Council","Number","7"
"New Dwelling Completion","2011Q2","Single house","Kildare County Council","Number","36"
"New Dwelling Completion","2011Q2","Single house","Kilkenny County Council","Number","41"
"New Dwelling Completion","2011Q2","Single house","Kerry County Council","Number","65"
"New Dwelling Completion","2011Q2","Single house","Longford County Council","Number","12"
"New Dwelling Completion","2011Q2","Single house","Louth County Council","Number","28"
"New Dwelling Completion","2011Q2","Single house","Limerick City & County Council","Number","46"
"New Dwelling Completion","2011Q2","Single house","Leitrim County Council","Number","13"
"New Dwelling Completion","2011Q2","Single house","Laois County Council","Number","26"
"New Dwelling Completion","2011Q2","Single house","Meath County Council","Number","55"
"New Dwelling Completion","2011Q2","Single house","Monaghan County Council","Number","20"
"New Dwelling Completion","2011Q2","Single house","Mayo County Council","Number","46"
