"STATISTIC Label","Quarter","Type of House","Local Authority","UNIT","VALUE"
"New Dwelling Completion","2018Q2","Single house","Roscommon County Council","Number","23"
"New Dwelling Completion","2018Q2","Single house","South Dublin County Council","Number","9"
"New Dwelling Completion","2018Q2","Single house","Sligo County Council","Number","19"
"New Dwelling Completion","2018Q2","Single house","Tipperary County Council","Number","41"
"New Dwelling Completion","2018Q2","Single house","Waterford City & County Council","Number","29"
"New Dwelling Completion","2018Q2","Single house","Westmeath County Council","Number","27"
"New Dwelling Completion","2018Q2","Single house","Wicklow County Council","Number","29"
"New Dwelling Completion","2018Q2","Single house","Wexford County Council","Number","60"
"New Dwelling Completion","2018Q2","Single house","Ireland","Number","1151"
"New Dwelling Completion","2018Q2","Scheme house","Cork City Council","Number","71"
"New Dwelling Completion","2018Q2","Scheme house","Clare County Council","Number","19"
"New Dwelling Completion","2018Q2","Scheme house","Cavan County Council","Number","11"
"New Dwelling Completion","2018Q2","Scheme house","Cork County Council","Number","146"
"New Dwelling Completion","2018Q2","Scheme house","Carlow County Council","Number","23"
"New Dwelling Completion","2018Q2","Scheme house","Dublin City Council","Number","184"
"New Dwelling Completion","2018Q2","Scheme house","Dún Laoghaire Rathdown County Council","Number","177"
"New Dwelling Completion","2018Q2","Scheme house","Donegal County Council","Number","14"
"New Dwelling Completion","2018Q2","Scheme house","Fingal County Council","Number","593"
"New Dwelling Completion","2018Q2","Scheme house","Galway County Council","Number","20"
"New Dwelling Completion","2018Q2","Scheme house","Galway City Council","Number","32"
"New Dwelling Completion","2018Q2","Scheme house","Kildare County Council","Number","218"
"New Dwelling Completion","2018Q2","Scheme house","Kilkenny County Council","Number","15"
"New Dwelling Completion","2018Q2","Scheme house","Kerry County Council","Number","33"
"New Dwelling Completion","2018Q2","Scheme house","Longford County Council","Number","4"
"New Dwelling Completion","2018Q2","Scheme house","Louth County Council","Number","107"
"New Dwelling Completion","2018Q2","Scheme house","Limerick City & County Council","Number","72"
"New Dwelling Completion","2018Q2","Scheme house","Leitrim County Council","Number","1"
"New Dwelling Completion","2018Q2","Scheme house","Laois County Council","Number","62"
"New Dwelling Completion","2018Q2","Scheme house","Meath County Council","Number","263"
"New Dwelling Completion","2018Q2","Scheme house","Monaghan County Council","Number","9"
"New Dwelling Completion","2018Q2","Scheme house","Mayo County Council","Number","13"
"New Dwelling Completion","2018Q2","Scheme house","Offaly County Council","Number","1"
"New Dwelling Completion","2018Q2","Scheme house","Roscommon County Council","Number","6"
"New Dwelling Completion","2018Q2","Scheme house","South Dublin County Council","Number","450"
"New Dwelling Completion","2018Q2","Scheme house","Sligo County Council","Number","17"
"New Dwelling Completion","2018Q2","Scheme house","Tipperary County Council","Number","3"
"New Dwelling Completion","2018Q2","Scheme house","Waterford City & County Council","Number","49"
"New Dwelling Completion","2018Q2","Scheme house","Westmeath County Council","Number","0"
"New Dwelling Completion","2018Q2","Scheme house","Wicklow County Council","Number","91"
"New Dwelling Completion","2018Q2","Scheme house","Wexford County Council","Number","50"
"New Dwelling Completion","2018Q2","Scheme house","Ireland","Number","2754"
"New Dwelling Completion","2018Q2","Apartment","Cork City Council","Number","25"
"New Dwelling Completion","2018Q2","Apartment","Clare County Council","Number","0"
"New Dwelling Completion","2018Q2","Apartment","Cavan County Council","Number","5"
"New Dwelling Completion","2018Q2","Apartment","Cork County Council","Number","26"
"New Dwelling Completion","2018Q2","Apartment","Carlow County Council","Number","0"
"New Dwelling Completion","2018Q2","Apartment","Dublin City Council","Number","117"
"New Dwelling Completion","2018Q2","Apartment","Dún Laoghaire Rathdown County Council","Number","155"
"New Dwelling Completion","2018Q2","Apartment","Donegal County Council","Number","1"
"New Dwelling Completion","2018Q2","Apartment","Fingal County Council","Number","44"
"New Dwelling Completion","2018Q2","Apartment","Galway County Council","Number","9"
"New Dwelling Completion","2018Q2","Apartment","Galway City Council","Number","5"
"New Dwelling Completion","2018Q2","Apartment","Kildare County Council","Number","14"
"New Dwelling Completion","2018Q2","Apartment","Kilkenny County Council","Number","3"
"New Dwelling Completion","2018Q2","Apartment","Kerry County Council","Number","3"
"New Dwelling Completion","2018Q2","Apartment","Longford County Council","Number","0"
"New Dwelling Completion","2018Q2","Apartment","Louth County Council","Number","16"
"New Dwelling Completion","2018Q2","Apartment","Limerick City & County Council","Number","13"
"New Dwelling Completion","2018Q2","Apartment","Leitrim County Council","Number","0"
"New Dwelling Completion","2018Q2","Apartment","Laois County Council","Number","1"
"New Dwelling Completion","2018Q2","Apartment","Meath County Council","Number","14"
"New Dwelling Completion","2018Q2","Apartment","Monaghan County Council","Number","3"
"New Dwelling Completion","2018Q2","Apartment","Mayo County Council","Number","0"
"New Dwelling Completion","2018Q2","Apartment","Offaly County Council","Number","0"
"New Dwelling Completion","2018Q2","Apartment","Roscommon County Council","Number","2"
"New Dwelling Completion","2018Q2","Apartment","South Dublin County Council","Number","7"
"New Dwelling Completion","2018Q2","Apartment","Sligo County Council","Number","0"
"New Dwelling Completion","2018Q2","Apartment","Tipperary County Council","Number","0"
"New Dwelling Completion","2018Q2","Apartment","Waterford City & County Council","Number","3"
"New Dwelling Completion","2018Q2","Apartment","Westmeath County Council","Number","0"
"New Dwelling Completion","2018Q2","Apartment","Wicklow County Council","Number","1"
"New Dwelling Completion","2018Q2","Apartment","Wexford County Council","Number","6"
"New Dwelling Completion","2018Q2","Apartment","Ireland","Number","473"
"New Dwelling Completion","2018Q2","All house types","Cork City Council","Number","116"
"New Dwelling Completion","2018Q2","All house types","Clare County Council","Number","55"
"New Dwelling Completion","2018Q2","All house types","Cavan County Council","Number","39"
"New Dwelling Completion","2018Q2","All house types","Cork County Council","Number","326"
"New Dwelling Completion","2018Q2","All house types","Carlow County Council","Number","44"
"New Dwelling Completion","2018Q2","All house types","Dublin City Council","Number","311"
"New Dwelling Completion","2018Q2","All house types","Dún Laoghaire Rathdown County Council","Number","349"
"New Dwelling Completion","2018Q2","All house types","Donegal County Council","Number","90"
"New Dwelling Completion","2018Q2","All house types","Fingal County Council","Number","666"
"New Dwelling Completion","2018Q2","All house types","Galway County Council","Number","132"
"New Dwelling Completion","2018Q2","All house types","Galway City Council","Number","41"
"New Dwelling Completion","2018Q2","All house types","Kildare County Council","Number","270"
"New Dwelling Completion","2018Q2","All house types","Kilkenny County Council","Number","51"
"New Dwelling Completion","2018Q2","All house types","Kerry County Council","Number","82"
"New Dwelling Completion","2018Q2","All house types","Longford County Council","Number","16"
"New Dwelling Completion","2018Q2","All house types","Louth County Council","Number","153"
"New Dwelling Completion","2018Q2","All house types","Limerick City & County Council","Number","140"
"New Dwelling Completion","2018Q2","All house types","Leitrim County Council","Number","13"
"New Dwelling Completion","2018Q2","All house types","Laois County Council","Number","91"
"New Dwelling Completion","2018Q2","All house types","Meath County Council","Number","339"
"New Dwelling Completion","2018Q2","All house types","Monaghan County Council","Number","41"
"New Dwelling Completion","2018Q2","All house types","Mayo County Council","Number","70"
"New Dwelling Completion","2018Q2","All house types","Offaly County Council","Number","21"
"New Dwelling Completion","2018Q2","All house types","Roscommon County Council","Number","31"
"New Dwelling Completion","2018Q2","All house types","South Dublin County Council","Number","466"
"New Dwelling Completion","2018Q2","All house types","Sligo County Council","Number","36"
"New Dwelling Completion","2018Q2","All house types","Tipperary County Council","Number","44"
"New Dwelling Completion","2018Q2","All house types","Waterford City & County Council","Number","81"
"New Dwelling Completion","2018Q2","All house types","Westmeath County Council","Number","27"
"New Dwelling Completion","2018Q2","All house types","Wicklow County Council","Number","121"
"New Dwelling Completion","2018Q2","All house types","Wexford County Council","Number","116"
"New Dwelling Completion","2018Q2","All house types","Ireland","Number","4378"
"New Dwelling Completion","2018Q3","Single house","Cork City Council","Number","13"
"New Dwelling Completion","2018Q3","Single house","Clare County Council","Number","49"
"New Dwelling Completion","2018Q3","Single house","Cavan County Council","Number","24"
"New Dwelling Completion","2018Q3","Single house","Cork County Council","Number","127"
"New Dwelling Completion","2018Q3","Single house","Carlow County Council","Number","13"
"New Dwelling Completion","2018Q3","Single house","Dublin City Council","Number","22"
"New Dwelling Completion","2018Q3","Single house","Dún Laoghaire Rathdown County Council","Number","25"
"New Dwelling Completion","2018Q3","Single house","Donegal County Council","Number","86"
"New Dwelling Completion","2018Q3","Single house","Fingal County Council","Number","23"
"New Dwelling Completion","2018Q3","Single house","Galway County Council","Number","101"
